Question;Answer;
Who is the creator  ?;(40:64 )  Allah, it is he Who has made for you the earth as a dwelling place and the sky as a canopy. and has given you shape and made your shapes good (looking )  and has provided you with good things. That is Allah, your Lord: so Blessed be Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . (39:6 )  He created you (all )  from a single person (Adam )  , then made from him his wife {Hawwa , (Eve ) }. and He has sent down for you of cattle eight pairs (of the sheep , two , male and female , of the goats , two , male and female of the oxen , two , male and female and of the camels, two, male and female ) . He creates you in the wombs of your mothers: creation after creation in there veils of darkness. Such is Allah your Lord His is the Kingdom. La ilaha illa Huwa (none has the right to be worshipped but He ) . How then are you turned away ? (7:54 )  Indeed your Lord is Allah, Who created the heavens and the earth in six days, and then He rose over (Istawa )  the Throne (really in manner that suits His Majesty ) . He brings the night as a cover over the day, seeking it rapidly , and (He created )  the sun, the moon, the stars subjected to His Command. Surely, His is the Creation and Commandment. Blessed is Allah, the Lord of the Alamin (mankind, jinn and all that exists ) ! (10:32 )  Such is Allah, your Lord in truth. So after the truth, what else can there be, save error. How then are you turned away ?;
Did you think that Allah created you only for play and without any purpose   ?;(3:115 )  “Did you think that We had created you in play (without any purpose ) , and that you would not be brought back to Us ?” ;
For what did Allah create mankind  ?;(51:56 )  And I (Allah )  created not the jinn and mankind except that they should worship Me (Alone ) .;
What did Allah command us to do  ?;(4:58 )  Verily! Allah commands that you should render back the trusts to those to whom they are due, and that when you judge between men, you judge with justice. Verily, how excellent is the teaching with He (Allah )  gives you! Truly, Allah is Ever All-Hearer, All-Seer. (6:151 )  Say (O Muhammad (PBUH ) )   :“Come, I will recite what your Lord has prohibited you from: be Join not anything in worship with Him, be good and dutiful to your parents, Kill not your children because of poverty – We provide sustenance for you and for them, come not near to Al-Fawahish (shameful sins, illegal sexual intercourse )  whether committed openly or secretly, and kill not anyone whom Allah has forbidden, except for a just cause (according to Islamic law ) . This He has commanded you that you may understand.;
From where shall we seek guidance  ?;(1:1 – 6 )  1: In the Name of Allah, the Most. Gracious, the Most Merciful. 2: All the praises and thanks be to Allah, the Lord of the Alamin (mankind, jinn and all that exists ) . 3: The Most Gracious, the Most Merciful . 4: The Only Owner (and the only Ruling judge )  of the Day of Recompense (i.e the Day of Resurrection )  5: You (Alone )  we worship, and You (Alone )  we ask for help (for each and everything ) . 6: Guide us to the Straight Way.;
Who shall we invoke in time of disaster  ?;(29:65 )  And when they embark on a ship, they invoke Allah, making their Faith pure for Him Only: but when He brings them safely to land, behold they give a share of their worship to others . (10:12 )  And when harm touches man, he invokes Us, lying on his side, or sitting or standing. But when We have removed his harm from him, he passes on as if he had never invoked Us for a harm that touched him! Thus it is made fair-seeming to the Musrifun that which they used to do.;
What happened to the previous nations when they disobeyed Allah  ?;( 29:40 )    So We punished each (of them )  for his sins, of them were some on whom We sent Hasib (a violent wind with shower of stones )  (as on the people of Lut (Lot )  , and of them were some who were overtaken by As-saihah (torment – awful cry. (as Thamud or Shuabs people ) , and of them were some whem We caused the earth to swallow (as Qarun (Korah ) , and of them were some whom We drowned (as the people of Nuh (Noah ) , or Firaun (Pharaoh )  and his people ) . It was not Allah Who wronged them, but they wronged themselves.;
Does Allah guard and save the Quran from corruption  ?;(15:9 )  Verily, We, it is We Who have sent down the Dhikr (i.e. the Quran )  and surely, We will guard it (from corruption ) ;
Who should we worship ?;(20:14 )  “Verily! I am Allah La ilaha illa Ana (none has the right to be worshipped but I ) , so worship Me, and perform As-Salat (Iqamat-assalat )  for My Remembrance.;
What is the religion of Allah  ?;(3:19 )  Truly, the religion with Allah is Islam. Those who were given the Scripture (Jews and Christians )  did not differ except, out of mutual jealousy, after knowledge had come to them. And whoever disbelieves in the Ayat (proofs, evidences, verses, signs, revelations, etc. )  of Allah, then surely, Allah is Swift in calling to account.;
What is the religion accepted by Allah  ?;(3:85 )  And whoever seeks a religion other than Islam, it will never be accepted of him and in the Hereafter he will be one of the losers.;
Where does the Quran come from  ?;(42:3 )  Likewise Allah, the All-Mighty the All-Wise sends Revelation to you (O Muhammad (PBUH )  )    as (He sent Revelation to )  those before you.(6:114 )  (Say (O Muhammad (PBUH ) )    “Shall I seek a judge other than Allah while it is He Who has sent down unto you the book (the Quran ) , explained in detail.” Those unto whom We gave the Scripture (the Taurat (Torah )  and the Injeel (Gospel )  know that it is revealed from your Lord in truth. So be not you of those who doubt.;
Why did Allah send messengers  ?;(4:64 )  We sent no Messenger, but to be obeyed by Allah’s Leave.;
Do we have to believe in all the messengers  ?;(2:285 )  The Messenger (Muhammad (PBUH )  _ )  believes in what has been sent down to him from his Lord, and (so do )  the believers. Each one believes in Allah, His angels, His Books, and His Messengers. (They say ) , “We make no distinction between one another of His Messengers” – and they say, “We hear and we obey. (We seek )  You’re Forgiveness, our Lord, and to You is the return (of all ) .”;
Who is the last messenger ?;(3:144 )  Muhammad (PBUH )  is no more than a Messenger, and indeed (many )  Messengers have passed away before him. If he dies or is killed, will you then turn back on your heels (as disbelievers )  ? And he who turns back on his heels, not the least harm will he do to Allah, and Allah will give reward to those who are grateful.;
To whom did Allah send the last messenger Prophet Muhammad ( PBUH )  ?;(34:28 )  And We have not sent you (O Muhammad (PBUH ) )    except as a giver of glad tidings and a warner to all mankind, but most of men know not.;
What did Allah prepare for those among the Jews and Christians who believe ?;(57:28 )  O you who believe (in Musa (moses )  (i.e. Jews )  and Isa (Jesus )  (i.e. Christians ) ! Fear Allah, and believe in His Messenger (Muhammad (PBUH )  _ ) , He will give you a double portion of His Mercy, and He will give you a light by which you shall walk (straight ) . And He will forgive you. And Allah is Oft-Forgiving, Most Merciful.;
What is the likeness of lsa  ( Jesus )  before Allah ?;(3:59 )  Verily, the likeness of Isa (Jesus )  bofore Allah is the likeness of Adam. He created him from dust, then (He )  said to him: “Be” – and he was.;
What did Allah say about Mary ?;(3:42 – 47 )  42: And (remember )  when the angels said: “(O Maryam (Mary ) ! Verily, Allah has chosen you, purified you (from polytheism and disbelief ) , and chosen you above the women of the Alamin (mankind and jinn )  (of her lifetime ) .” 43:O Mary! “Submit yourself with obedience to your Lord (Allah ) , by worshipping none but Him Alone )  and prostrate yourself, and Irkai (bow down )  along with ArRakiun (those who bow down ) .” 44:This is a part of the news of the Ghaib (unseen, i.e. the news of the past national of which you have no knowledge )  which We reveal to you (O Muhammad (PBUH )  )    You were not with them, when they cast lots with their pens as to which of them should be charged with the care of Maryam (Mary ) , nor were you with them when they disputed. 45:(Remember )  when the angels said: “O Maryam (Mary ) ! Verily, Allah gives you the glad tidings of a Word (“Be”- and he was! I.e. Isa (Jesus )  the son of Maryam (Mary ) , from Him, his name will be the Messiah Isa (Jesus ) , the son of Maryam (Mary ) , held in honour in this world and in the Hereafter, and will be one of those who are near to Allah.” 46:“He will speak to the people in the cradle and in manhood and he one of the righteous.” 47:She said: “O my Lord! How shall I have a son when no man has touched me.” He said: “So (it will be )  for Allah creates what He wills. When He has decreed something, He says to it only: “Be!” – and it is.;
Was Jesus crucified and died on the cross ?;(4:157–158 )  157:And because of their saying (in boast ) , “We killed Messiah Isa (Jesus ) , son of Maryam (Mary ) , the Messenger of Allah,” – But they killed him not, nor crucified him, but they resemblance of Isa (Jesus )  was put over another man (and they Killed that man ) , and those who differ therein are full of doubts. They have no (certain )  knowledge, they follow nothing but conjecture. For surely, they killed him not (i.e. Isa (Jesus ) , son of Maryam (Mary )  (PBUT ) )   .158:But Allah raised him (Isa (Jesus )  up (with his body and soul )  unto Himself (and he (PBUH )  is in the heavens ) . And Allah is Ever All- Powerful All-Wise;
Was Jesus the son of God ( Allah )  ?;(112:1 – 4 ) :1:Say (O Muhammad (PBUH ) )   : “He is Allah, (the )  One.2:(Allah the self-Sufficient Master, Whom all creatures need, (He neither eats nor drinks ) .3:He begets not, nor was He begotten.4:And there is none co-equal or comparable unto Him.;
How could you be secure ?;(6:82 ) It is those who believe (in the Oneness of Allah and worship none but Him Alone )  and confuse not their belief with Zulm (wrong i.e. by worshipping others beside Allah ) , for them (only )  there is security and they are the guided.;
What is the life of this world ?;(57:20 ) Know that the life of this world is only play and amusement, pomp and mutual boasting among you, and rivalry in respect of wealth and children. (It is )  as the likeness of vegetation after rain, thereof the growth is pleasing to the tiller, afterwards it dries up and you see it turning yellow, then it becomes straw. But in the Hereafter (there is )  a severe torment (for the disbelievers – evil-doers ) , and (there is )  Forgiveness from Allah and (His )  Good Pleasure (for the believers – good-doers ) . And the life of this world is only a deceiving enjoyment.;
Whatever of blessings and good things you have , is it from Allah ?;(16:53 )  And whatever of blessings and good things you have, it is from Allah.Then, when harm touches you, unto Him you cry aloud for help.;
How could you guarantee the blessings of Allah ?;(14:7 )  And (remember )  when your Lord proclaimed: “If give thanks (by accepting Faith and worshipping none but Allah ) , I will give you more (of My Blessings ) , but if you are thankless (i.e. disbelievers ) , verily My punishment is indeed sever.”;
How could you save yourself from a painful torment ?;(61:10 – 11 )  10:O you who believe! Shall I guide you to a trade that will save you from a painful torment ? 11:That you believe in Allah and His Messenger (Muhammad (PBUH )  _ )   ;
Whosoever puts his trust in Allah , what will happen to him ?;(65:3 )  And He will provide him from (sources )  he never could imagine. And whosoever puts his trust in Allah then He will suffice him. Verily, Allah will accomplish his purpose. Indeed Allah has set a measure for all things;
What is the destination of the disbelievers ?;(57:15 )  So this Day no ransom shall be taken from you (hypocrites ) , nor of those who disbelieved (in the Oneness of Allah – Islamic Monotheism ) .Your abode is the Fire. That is your maula (friend – proper place ) , and worst indeed is that destination.;
What is the destination of the believers ?;(4:57 )  But those who believe (in the Oneness of Allah – Islamic Monotheism )  and do deeds of righteousness, We shall admit them to Gardens under which rivers flow (Paradise ) , abiding therein forever. Therein they shall have Azwajun Mutahharatun (purified mates or wives ) , and We shall admit them to shades wide and ever deepening (Paradise ) .;
How could you be happy ?;(16:97 )  Whoever works righteousness- whether male or female – While he (or she )  is a true believer (of Islamic Monotheism )  verily, to him We will give a good life (in this world with respect, contentment and lawful provision ) , and We shall pay them certainly a reward in proportion to the best of what they used to do (i.e. Paradise in the Hereafter ) .;
Is there a Hajj Akbar ?;If Arafat is on a Friday, then many describe it as Hajj Akbar (Big Hajj ) . There is no big or small Hajj. There is only one Hajj. Every year is Hajj Akbar. The 10th day of Dhul Hijja is described in The Qur'an as Yaum-ul-Hajjil-Akbar;
Who was the first human from whom the human race came into existence?;Adam;
From whom did humans learn about making graves?;From a crow;
At what month was the Holy Quran revealed?;Ramadan;
What cursed tree that mentioned in the Quran?;Zaqqum;
How was our mother Hawa created?;From the left rib of Adam;
What is the miracle of Noah?;Ship and the flood;
Who is the last messenger?;Muhammad (PBUH);
For how many consecutive days did it rain during the great floods?;Forty nights and days continuously;
When is the Day of Judgment?;Only Allah knows;
Who is the Father of Mary?;Umran;
Which Surah starts with words Tabaruk Al-Lazi?;Mulk and Furkan;
What is the book of Jesus?;The Bible;
In which surah the holy war of Badr is mentioned?;Surah Anfal;
Who is the prophet whom book is the Quran?;Muhammad;
What animal swallowed Younis?;El- Hoot;
What is the book of Moses?;EL Tawrat;
Which Nabi was first come on earth?;Adam;
Who is the mother of Jesus?;Maryam;
Is there a trinity in Islam?;No Allah is one and perfect;
What surah that has the laws about marriage?;Surah Nesa;
Why do Muslims believe that the Prophet Muhammad is the final prophet ?;The majority of Muslims believe that the Prophet Muhammad is the final prophet on the grounds that the Quran and hadith state so.;
What is the first and the most ancient Mosque according to the Quran?;AL-Masjid Al Haram;
How do the stories of the prophets in Islam compare with those in Christianity and Judaism ?;That depends on which prophet we are talking about. In many cases, the stories of the prophets in the Quran are similar to the stories that are in the Bible. Some examples include:the story of Noah and his ark. The story of Abraham and Sarah and the birth of their son Isaac, who is also considered a prophet.  The story of Jacob and his twelve sons, including Joseph, who is also considered a prophet, and. The most oft-mentioned prophet in the Quran, Moses, and the story of his mission in Egypt to rescue his people. Some of the major differences between the biblical account of some of these prophets and the Quran stem from the fact that the Quran holds that all prophets were immune from major sins. The stories of Prophet Jesus are close to the Bible in their descriptions of his virginal birth and miracles but differ sharply in their account of the divinity of Jesus and crucifixion, the Quran states that Jesus was only a man, not divine, and that before the crucifixion Jesus was taken into heaven and replaced by a person who looked like him.;
Who is the man about whom Allah has said in the Quran that his body is kept as an admonishing example for future generations to come?;Firaun;
What is the Islamic view on Homosexuality?;Islam opposes homosexuality and considers it a sin;
What are the other names of the Quran according to the Quran itself?;Al-Furqaan  Al-Kitaab  Al-Zikr  Al-Noor  Al-Huda;
What is the Islamic view on Euthanasia and Suicide?;Islam is opposed to both suicide and euthanasia;
